Ref,Pin,Pin name,Net,Notes
J14,A4/B4/A9/B9,VBUS,USB_VBUS,USB-C PD input receptacle
J14,A1/B1/A12/B12,GND,GND,USB-C PD input receptacle
J14,A5,CC1,USB_CC1,USB-C PD input receptacle
J14,B5,CC2,USB_CC2,USB-C PD input receptacle
J14,SH,SHIELD,GND,USB-C PD input receptacle
D1,1,K,USB_VBUS,VBUS TVS
D1,2,A,GND,VBUS TVS
U1,VBUS,VBUS,USB_VBUS,CH224K PD sink 9V
U1,CC1,CC1,USB_CC1,CH224K PD sink 9V
U1,CC2,CC2,USB_CC2,CH224K PD sink 9V
U1,GND,GND,GND,CH224K PD sink 9V
U1,VOUT,VOUT,PD_NEGOTIATED_VBUS,CH224K PD sink 9V
U1,CFG1,CFG1,PD_CFG,CH224K PD sink 9V
U1,CFG2,CFG2,PD_CFG,CH224K PD sink 9V
U1,CFG3,CFG3,PD_CFG,CH224K PD sink 9V
F1,1,IN,PD_NEGOTIATED_VBUS,3A-5A polyfuse
F1,2,OUT,PD_FUSED,3A-5A polyfuse
U2,VIN,VIN,PD_FUSED,TPS54531DDA 5A buck
U2,GND,GND,GND,TPS54531DDA 5A buck
U2,PH,PH/SW,BUCK_SW,TPS54531DDA 5A buck
U2,BOOT,BOOT,BUCK_BOOT,TPS54531DDA 5A buck
U2,VSENSE,FB,BUCK_FB,TPS54531DDA 5A buck
U2,COMP,COMP,BUCK_COMP,TPS54531DDA 5A buck
U2,SS,SS,BUCK_SS,TPS54531DDA 5A buck
U2,EN,EN,BUCK_EN,TPS54531DDA 5A buck
U2,PAD,EP,GND,TPS54531DDA 5A buck
L1,1,SW,BUCK_SW,4.7uH >=6A
L1,2,OUT,FUSED_5V1,4.7uH >=6A
D2,K,K,BUCK_SW,5A 40V Schottky
D2,A,A,GND,5A 40V Schottky
CIN1,1,+,PD_FUSED,4.7uF 50V
CIN1,2,-,GND,4.7uF 50V
CIN2,1,+,PD_FUSED,4.7uF 50V
CIN2,2,-,GND,4.7uF 50V
CBOOT,1,BOOT,BUCK_BOOT,100nF
CBOOT,2,SW,BUCK_SW,100nF
CSS,1,SS,BUCK_SS,10nF
CSS,2,GND,GND,10nF
REN1,1,VIN,PD_FUSED,665k
REN1,2,EN,BUCK_EN,665k
REN2,1,EN,BUCK_EN,130k
REN2,2,GND,GND,130k
RCOMP1,1,COMP,BUCK_COMP,37.4k
RCOMP1,2,NODE,BUCK_COMP_RC,37.4k
CCOMP1,1,NODE,BUCK_COMP_RC,2200pF
CCOMP1,2,GND,GND,2200pF
CCOMP2,1,COMP,BUCK_COMP,22pF
CCOMP2,2,GND,GND,22pF
CIN3,1,+,PD_FUSED,10nF 50V
CIN3,2,-,GND,10nF 50V
COUT1,1,+,FUSED_5V1,47uF 10V
COUT1,2,-,GND,47uF 10V
COUT2,1,+,FUSED_5V1,47uF 10V
COUT2,2,-,GND,47uF 10V
RFB1,1,TOP,FUSED_5V1,10.2k 1%
RFB1,2,FB,BUCK_FB,10.2k 1%
RFB2,1,FB,BUCK_FB,1.96k 1%
RFB2,2,GND,GND,1.96k 1%
Q1,S,SOURCE,FUSED_5V1,AO4407A P-MOS high-side
Q1,D,DRAIN,OPI_5V_SW,AO4407A P-MOS high-side
Q1,G,GATE,PWR_GATE,AO4407A P-MOS high-side
Q2,D,DRAIN,PWR_GATE,2N7002
Q2,S,SOURCE,GND,2N7002
